Algoritmo,Seed,Fitness
CMA_ES_controller,42,4.262723131075625
CMA_ES_controller,123,4.462152511155548
CMA_ES_controller,2025,4.498066717467629
CMA_ES_controller,8675309,4.5908619214985285
CMA_ES_controller,123456789,4.390787614457238
DE_controller,42,3.71096482054259
DE_controller,123,1.7887349699011204
DE_controller,2025,1.8676688691871424
DE_controller,8675309,1.9172025008424012
DE_controller,123456789,2.03344800003328
ES_controller,42,2.303629066305361
ES_controller,123,3.7852990282516097
ES_controller,2025,2.736347089868492
ES_controller,8675309,2.9703230100317906
ES_controller,123456789,3.447363036874103
ES_controller 3000,42,1.975286167166528
ES_controller 3000,123,5.436363444651112
ES_controller 3000,2025,2.4924943225913885
ES_controller 3000,8675309,2.652907769482172
ES_controller 3000,123456789,2.905929407897452
