Index,Fitness,Structure,Controller_Weights
0,1.085824865028706,"0.0,3.0,2.0,3.0,2.0|2.0,4.0,0.0,4.0,2.0|0.0,2.0,0.0,4.0,0.0|0.0,1.0,4.0,1.0,1.0|3.0,4.0,4.0,0.0,0.0","[[ 0.16950561  0.96681201 -0.89605976 ... -2.17107709  0.21586267
  -0.81988337]
 [-0.34119718  0.4334432  -1.60577248 ...  0.19006723 -0.78284637
   0.05807877]
 [ 1.40503233  0.14086556  0.09213721 ...  0.35475576  0.80467123
   3.0683107 ]
 ...
 [ 1.6071943  -1.04877464 -1.21376742 ...  2.07855851  0.21994113
  -1.66431458]
 [-0.90177541 -2.01199832 -1.32664146 ... -1.29799049 -0.25002936
   1.3974858 ]
 [-0.60171729  1.57164118 -0.94056724 ... -0.51931324  0.66822169
  -1.0413263 ]];[-1.52060409  0.69673072 -0.36741602  1.38839326  0.78589741  0.68658102
  0.77731791  0.22677785 -0.22945173 -2.90328536  0.28610017  0.24006506
 -0.58967214  1.50261543 -1.37985862  0.19396751];[[-0.84950336  0.33790489 -1.89115585  1.5821702  -0.69768169  0.21215005
   0.06046618 -0.20535449 -1.33823778  0.38972317  1.14370678 -0.79986631
   0.89558404 -1.64992318 -2.23634107 -0.69784148]
 [-0.31726051 -0.03725862  0.5926525  -0.38909413  0.61559665  0.40893584
   0.7661288   1.63261355  1.29450932  0.01061758  1.63014828 -1.44971513
  -0.9032311  -0.25147183  0.02610832  0.6211828 ]
 [ 2.07217916  0.51206627 -0.88526167  2.25884479  0.21701499 -0.2152229
   0.93507934 -0.37202348  0.27969998 -0.71121164  0.64373837 -0.41105232
   0.33597572  0.08022235  0.7358366  -0.13388718]
 [ 0.69257274 -1.62638402 -2.37047255  0.82530148 -1.00161395 -1.59503869
   0.13476311  0.42890981  0.63997163  0.44177389 -0.24238787 -1.14995186
  -0.46342163 -0.36028777 -2.18846751  0.01397637]
 [ 1.28309476 -0.46157184  0.90161676 -0.31452305 -1.65030961  0.11988198
   0.23374926  0.9702467   1.13131552  1.06301829 -1.22301849  1.38051675
   0.95698766  0.48900003  1.71970299  0.26674266]
 [ 0.81608963  0.31751115 -0.17712794 -0.24808757 -0.11334817 -0.50465158
  -0.41157771  0.13858887 -0.07410415 -2.14743591  0.78992911  1.15004584
   0.65671782  0.03462051  0.28995084 -1.14328587]
 [ 0.73590844  0.77845403  1.01699018  1.94710961  0.82041141 -0.02587328
  -0.96364354 -0.41001686  0.94597939 -0.33357595  0.0217698   0.95090032
   0.23771121 -0.34235562  0.19692602 -0.63698332]
 [ 0.2839163   0.36802381  0.40910203 -1.50013718 -1.3831757   0.54365332
   0.70640605  1.38638994  0.1353155   0.74903689 -0.79753548 -0.47574196
  -1.57167012 -0.14052009 -0.98876486  0.48700564]
 [ 0.53520755  0.37558749 -0.31363334  0.50029434 -0.52736982 -2.29935609
  -0.01845905 -0.07403818  1.83017378 -0.86434923  2.47940328  1.87893709
   0.13412654 -2.68969122  0.97395991 -0.77453628]];[ 0.57935752 -1.0783285  -1.39335947 -2.23332236  2.04974021  0.42346426
 -0.54526306 -1.06125906  0.70864065]"
1,0.35531174389916326,"0.0,0.0,2.0,3.0,2.0|0.0,4.0,0.0,4.0,2.0|0.0,2.0,0.0,4.0,0.0|3.0,1.0,4.0,4.0,1.0|0.0,4.0,4.0,0.0,0.0","[[-0.99694551 -0.03383943 -1.43660668 ... -0.99229394  0.88652195
  -0.00660639]
 [-0.18439911 -1.77798479 -0.63057034 ... -2.15764882 -1.43237896
  -1.46777512]
 [-0.45625863 -0.86377188  0.85385326 ... -0.98354728  0.1216115
  -2.18868518]
 ...
 [ 0.47726055 -0.18280544  1.47308593 ...  1.16025823 -0.14173278
   0.42878328]
 [ 0.93596629  1.01732587  1.19224843 ...  0.23106681 -1.52032449
  -0.90517101]
 [ 0.6132355  -0.16305045  0.94484355 ... -0.93148079  0.10470007
  -0.19749887]];[-0.17942009 -0.31283224 -0.7818153   0.07588467  0.89543424 -1.300255
 -1.31649354 -0.07647551  1.28959549 -1.95735966  0.04525806 -1.12249644
  0.18945793  1.09628058 -0.70908922  0.25627201];[[ 0.20066431  0.40675023 -0.20952288  0.32238179 -1.83030478  0.20138232
   0.47627908 -0.75940167 -0.21230795 -1.69420528 -0.38334143  0.27504154
  -0.79099325 -0.20581212 -2.14674069 -0.57449414]
 [ 1.83362658 -1.5131266  -0.73640328 -0.78109837 -1.66998016  0.87322193
  -0.17100647 -0.69199688 -0.07356438  0.1380465  -0.54625353  0.35172238
  -0.6424528   0.76769904  0.91686261 -0.0987974 ]
 [ 1.65380743  1.03357268 -2.01415231 -0.6921015   1.8320666  -0.16393033
  -0.78057893 -0.14955723 -1.1659005   0.52480217 -0.08318696 -0.8357536
  -1.62109635  0.78257338  0.49347304 -1.94322505]
 [ 0.91395016  1.20356713 -0.58675537  1.04089578  0.87603924 -0.89061497
  -1.0134343   0.42895488 -0.65850443 -0.28829202  1.02283874  1.27598196
   2.60316893 -0.56592727 -1.24937018  1.15518283]
 [-0.38841114  0.44915469 -0.82006879  0.92811538  1.36331771  0.89022839
   1.62855704  1.03934048 -1.03953072 -0.15656363  1.21024299  0.47043114
  -1.78793001  1.92449888  1.22044443 -1.34170197]
 [-1.20867565 -1.27594164 -1.02830315 -0.97926986 -0.45330259  0.38184873
   0.16954812 -0.02943687 -0.72787907  2.153284   -0.06342091  0.60564083
   0.20824463  0.33795553  1.02607849 -1.12441556]
 [ 0.58705685 -0.34122888  1.20791719 -1.86109689  0.32591185  0.85375898
  -0.75144793 -0.77130056 -1.17933685 -0.27634966  0.34408107 -1.02239187
   0.0762446   0.10809178 -0.35951475  0.94459858]
 [ 0.17201911 -0.54713313 -0.21042915 -0.88148825  0.29855729 -1.49139936
   0.43940413  0.45870961 -0.11897639  0.56041606  1.29091782  2.44879615
   1.8950952  -0.03768583  0.91007597 -1.7932213 ]
 [-1.31365687 -1.17321406  0.2336747  -0.58741201 -1.50700198  0.89396886
   0.32489265 -2.1316908   0.11542764 -0.42497005 -1.68239591  2.15182129
   0.77326676  0.46708645  2.1228602  -0.63902024]];[-0.11221825  1.31783479  0.16518761  0.1415593   0.23524511 -0.3126412
  0.82191028 -1.11160166 -0.4560133 ]"
2,0.520451204059401,"0.0,2.0,0.0,0.0,4.0|0.0,1.0,4.0,2.0,1.0|2.0,1.0,4.0,1.0,0.0|0.0,4.0,0.0,1.0,2.0|1.0,2.0,0.0,4.0,0.0","[[ 0.63021186 -1.60915688 -0.27056202 ...  0.14706673 -0.44993978
   0.71465717]
 [ 1.27174168 -0.549385   -0.36492999 ...  1.8120786  -0.87151551
   0.24395754]
 [ 1.16768393  1.81019042  0.26622006 ...  0.26670536 -0.85870346
  -0.605728  ]
 ...
 [-1.91482137  0.75172143 -1.39134201 ... -1.56678492  1.10153255
  -0.01606957]
 [ 0.86618267  0.91950878 -1.39606967 ...  1.39460544  0.35808649
  -0.33378861]
 [-0.36000351  0.72849832  0.10038041 ...  0.73301602 -0.04893179
   1.72172637]];[-1.86042593  1.37632421  0.43377254  0.55192336  0.46738576  0.12688557
  0.30085505 -1.01266966 -0.2180125  -0.38114598 -0.93731833 -0.89930295
 -0.13971542  1.37865952  0.55556233 -0.66402105];[[-1.03824756 -2.31767108 -0.09859322  0.87120297  0.68051876  1.20252994
  -0.70095487 -0.43602696 -0.73611298  0.36422559 -0.033586    1.10108855
   1.24792479  0.606928   -1.48381576 -0.03720191]
 [-1.40756331  0.61762205 -0.10017283 -0.03384523  0.06234514 -0.71097538
   1.22551113  1.29350979 -0.24741154  1.06191415  0.51600571 -0.55938333
   1.3654396   0.14326275  0.16061623 -1.38107428]
 [-0.98703656 -1.23885883 -0.31178846  1.15485494 -0.2819325  -0.91610351
  -0.03468136 -1.4965647  -0.71040075  1.27777382 -1.60896372  0.54863903
  -2.28003334  1.98008055 -0.50054096  1.92278366]
 [ 0.87269907  0.15367756  0.91564784  0.2147766   0.81540784  1.47333935
   0.17410559  0.64959504  2.68181734  0.61163163 -1.89607095  1.19262409
  -0.44666499  0.39575804 -2.0335987  -0.79241541]
 [ 1.56260283 -0.36433564  3.16877346  0.42669947  0.42945078 -0.79521641
   1.44033449  0.31882887 -1.12768019 -0.9988544  -3.17789019 -0.35222037
  -1.59791741 -0.52620034 -0.01883322  0.44794165]];[-1.56127916  0.30068415  1.58055153 -2.72413158  1.73228364]"
3,0.382099204941974,"0.0,3.0,4.0,1.0,0.0|0.0,1.0,4.0,2.0,4.0|2.0,1.0,3.0,1.0,0.0|0.0,4.0,0.0,1.0,0.0|3.0,2.0,0.0,4.0,0.0","[[ 0.96934518  0.1653163  -0.57124048 ...  0.10452045 -0.11559235
  -1.06663698]
 [ 0.46142414 -0.8543017   0.70365331 ... -0.66776634  0.39198393
   1.25441521]
 [-2.33540473  1.58041594 -0.64947141 ...  0.96873431 -0.50402829
  -0.1460442 ]
 ...
 [ 1.32971695 -0.13541966 -2.32918652 ...  1.01755808 -0.70650114
  -2.00723569]
 [-1.03231866 -1.2453912  -0.26884572 ...  0.74175525 -0.71195473
  -0.31116956]
 [ 1.44714751 -0.79904472  1.51519938 ... -1.14341988  0.9072179
   1.71683851]];[ 1.40732809 -0.25186567  0.73237882  0.17052047  0.76160413  0.54636818
  1.80260809 -2.2097952   1.33683149 -0.65185585  0.56696879  0.46290038
  1.25516851  0.46344021 -1.00285723  1.35664265];[[ 0.12049471 -1.12407307 -1.40052296 -1.41250667  0.91749463  1.33445977
   1.04509521 -0.53843087  0.68363823  0.97541171  0.87911467  0.91882273
  -0.07588172  1.9815419  -0.19373952 -0.19121399]
 [-0.06094359  0.95486431  1.17238428 -1.18134918  0.93535184 -0.2544259
   0.46636652  0.33677019  0.15316027  1.31335994 -0.68014629  0.64914471
  -1.46169989 -1.20460128  1.48241292 -0.2682161 ]
 [ 1.21342863  2.52991628  0.53600114 -1.4659103   0.8340261   0.91356182
  -1.62442419 -0.24296862  0.1231446   0.20940046 -0.03418305 -0.29602973
  -0.3228336  -0.06216195  1.20946042  0.44862151]
 [-0.2088511  -1.20154915 -0.7933196   0.28030284 -0.57660522 -0.36105225
   0.20931474  0.21475104  0.64545218  0.85959025  0.56824752 -1.3965253
   0.85825194  1.44570519 -0.88954219  0.01342276]
 [ 1.89951113 -1.57118393 -0.93854998 -0.6291023   0.00383852 -0.59361464
  -1.8915314  -1.48804992 -0.38727141  1.25676227  0.85806165 -0.43602542
   0.89547139  2.32330533 -0.96997908 -0.12469119]
 [-1.90032132 -1.02086683 -0.34425043 -1.06780184  0.27696411 -0.56948994
   0.86898122 -0.65545319  0.44886557  0.80669213  0.07456377  0.38980563
  -0.14241032  0.07429103  1.41440777  0.91122409]
 [ 0.20785918  1.39495485 -1.19311435  0.55086475 -0.31042164 -0.61309938
  -0.26728729 -0.12253833 -0.00822198  2.0831193  -1.30476109  1.0611206
   0.23388795  0.6890238   0.47852302  1.84968844]
 [ 0.21737567  0.75851623 -3.17776246 -0.67365275 -0.8707216   0.74391963
   0.20617598  0.08044323 -0.72973032 -0.79701234 -0.78165222 -0.79682126
  -0.550833    0.22381036 -0.91916676  0.11248976]];[ 0.63390047  1.497658   -2.0394974   0.46511833  0.78019994  0.05329593
  0.81785661  1.89966462]"
4,0.23899633989485913,"1.0,3.0,4.0,2.0,4.0|1.0,3.0,0.0,0.0,0.0|2.0,0.0,0.0,3.0,0.0|4.0,4.0,2.0,3.0,0.0|3.0,0.0,3.0,0.0,0.0","[[ 1.61972174 -0.04912643 -1.99303552 ... -1.60337131  0.40617015
   0.26463546]
 [ 0.27766225 -0.83273647 -0.78345783 ... -1.99777881 -0.324327
  -0.8779459 ]
 [ 0.44193815 -0.0428618   1.5011028  ...  0.12556735  1.64668171
   1.33943989]
 ...
 [ 1.57993964 -0.24662636 -0.04231232 ...  0.27475007 -0.57877797
   0.40190261]
 [-0.00324573  1.30131474  0.40817065 ...  0.8552761   0.92207224
  -1.98893145]
 [ 0.52323765  1.70359419 -1.50316667 ... -1.19672922  0.17536728
   0.03596446]];[ 0.08757758 -1.03904114  2.93225512  0.41362776 -0.0456978   0.04419942
 -0.72320788  0.16125857  0.14101675  0.24745448 -0.14652257  0.22451837
 -0.11416708  1.03248023  0.63271054 -0.2627809 ];[[ 0.24920679  0.2297693   0.48367537  0.94847271  0.65258936  0.16673599
  -0.34878808  0.19857173  0.35603785 -1.2908628  -2.0199811  -0.16577231
  -0.96221836 -0.60421973  0.69035014  0.01013452]
 [-2.10683059 -0.12189569 -1.08041287  1.33774346  1.59341692  1.27937865
  -0.52895189 -1.0037199   1.68423626 -0.86829976 -0.92012915  2.13319982
   0.64125743 -0.95513014 -0.23341897 -1.48386266]
 [ 1.29466513  0.23124118  0.23622244  0.64398466 -0.77999042  0.04111422
   0.41521867 -0.28542346  0.06819616 -1.4793349  -1.00446396  0.94039648
  -0.22698912 -0.24039663 -0.84487835 -0.56114977]
 [-0.29672765 -0.1231738   0.18978861 -1.63111416  1.78027086  1.93604922
   0.20052352 -0.2401316  -1.89839546 -1.38452463 -0.04205293  0.4149561
   1.27101455 -0.52102949 -1.94864693 -1.89850543]
 [-0.16472195 -0.11403178  0.11007186  2.41688039  0.4308323   0.25167198
   0.02913586 -0.93843134  0.66401835  0.39475556 -1.03181908  0.17847341
   0.66007135  0.88977246 -1.01792712 -1.72024324]
 [ 1.05426006 -1.0225514  -1.44590463  0.11982132  0.2715498   0.23846006
   1.71708499 -0.23010965  0.91954196  0.74448734 -0.05151456  1.24843925
  -0.73499215 -1.00925944  1.59165683  0.74178759]
 [ 1.21307539 -2.78135232 -0.15091174  1.76511202  2.65694509  0.42889731
  -1.28627747  0.84384041  0.34232732  0.47661403  0.36861116 -2.3200203
   0.45428658  1.70618403 -0.15573853 -0.40276015]
 [-1.80777669  0.09935251 -0.31480071  1.69486184 -1.10293291  0.19344884
   1.02364007 -2.70304604  0.02240545 -0.48686845  0.21446397  1.046883
  -0.96884908 -1.26613669  0.73562387 -0.32210397]
 [-2.08535986 -0.42396063  0.0208113   0.40078272  1.8327465  -0.62811677
   1.23132574  0.2695653  -1.0555645   0.90117321 -0.93724326  0.67273102
  -1.09829601  0.8723142  -0.67097886 -3.43236326]
 [-1.33292725  1.53177793 -0.17431164  0.85726101  1.01900635  0.5576977
   0.37764271  0.4149438  -0.58105168 -0.524889    1.16192173  0.52800111
  -0.64180081 -0.3736787  -1.50532765  0.43808161]];[-0.40069804  0.96803586  1.0573962  -0.03146451 -0.67608108  0.65127996
  1.46557917 -0.55081541 -0.65389784 -0.73570985]"
5,0.20683071098872796,"0.0,2.0,4.0,0.0,3.0|3.0,1.0,4.0,2.0,1.0|2.0,2.0,0.0,1.0,0.0|0.0,4.0,0.0,3.0,2.0|4.0,2.0,0.0,4.0,0.0","[[ 1.31533076  2.73250079  0.96252849 ... -0.27220021  0.21873734
   0.02212297]
 [-0.8568122  -1.01695644  0.45161032 ...  1.50972452 -1.04024106
   1.8614488 ]
 [-1.45005248 -0.24397777 -1.13559362 ... -0.86888673 -1.95922785
   0.18505522]
 ...
 [-1.58375045  0.12255614 -1.37663827 ... -1.62678686 -1.03757952
  -0.72608856]
 [ 0.19245908  0.26715965 -0.909932   ... -1.06317704  0.09772219
  -0.20282243]
 [ 0.91989149  0.35816207 -0.2469322  ... -0.66894231 -2.55969088
  -0.59197843]];[ 1.09664063  0.21287401 -0.1873775  -0.62883538 -1.14861397  0.0886168
 -0.13491168 -0.76294272  0.41292556 -0.89212403  0.82729595 -0.90759498
  0.55480889  0.48387021  0.26636186  0.88390002];[[-0.89293214 -0.17596915 -1.94526912  1.61151871 -0.85597086  2.96254736
   0.54051722 -0.0126701  -1.66838576 -0.52703747  0.06056517  2.0884734
  -1.818046    0.76169587 -0.58613325  0.98729092]
 [-1.42047909  1.52366015 -1.34472931  0.4237705   0.14546532  1.57217196
   1.19873731 -0.26725476  0.94872318  0.78209985 -2.24103255 -0.63172054
   0.585267   -0.28302956 -1.42721014 -0.4790629 ]
 [ 0.43072109 -0.05489653  1.36013559  0.14374353 -0.59144897  1.17136993
   1.51622847 -0.75601374 -0.90290935  1.2351349   0.57732635  0.90611922
  -0.08617801 -1.15191821 -1.81875556 -1.29069563]
 [ 0.57979516 -0.82497771  0.0895628  -0.24754331 -0.18135626  1.03330169
   0.28679171  2.37010293  1.14221114  0.86797277  0.25564948 -1.23668269
   0.26973842  0.05121759  0.4438809  -0.7216476 ]
 [-0.3124698  -0.72692059 -0.2473366   1.94479893 -0.42159763  0.68080881
   0.80003169 -0.02001446 -0.92563271 -1.37432967 -1.9517873   0.4282298
  -1.50679875  0.56954022  0.18785334 -0.58281938]
 [ 1.23549998 -0.66258425  0.44945703  0.77715059 -0.21371557  0.14431189
   0.09001124 -1.54729607  0.66231466  0.78669251  0.14306855  0.71824895
  -0.58921549 -0.11647892 -0.19917612  0.78756192]
 [ 0.35728209  0.50960139 -1.09444307 -0.19352664 -0.47224227 -0.14917145
  -0.44391     1.07465929  0.49762834 -0.418781    0.33219872 -0.07072024
  -0.93423739  1.2442385   1.61640514  1.56071388]
 [ 0.74326214 -0.05554175  0.96206384 -1.18633479  0.30087108 -1.54865897
   1.82017184 -1.0357384  -2.07742777 -2.78882006 -0.61687216 -1.75391187
  -1.54128825  0.17653258  0.23246565 -0.25740464]];[ 1.2955302   0.39246948 -1.83852159  2.12182543  0.12636639  0.67413961
 -0.11815027  0.2156695 ]"
6,0.1267772972205508,"0.0,2.0,4.0,2.0,0.0|0.0,1.0,1.0,2.0,1.0|2.0,1.0,0.0,4.0,1.0|0.0,4.0,0.0,1.0,4.0|4.0,2.0,0.0,4.0,0.0","[[ 4.18970965e-01 -1.36456316e+00  5.82618499e-01 ... -7.19869042e-02
  -2.02958428e-03 -3.61970784e-01]
 [-1.50533980e+00 -1.83910339e+00  3.46863386e-02 ... -1.50306340e-01
   3.04402512e-02  9.02311474e-01]
 [ 1.77795598e+00  4.93755604e-01  1.07131327e-01 ...  3.14652822e-01
   7.51963585e-01  2.40651203e+00]
 ...
 [ 3.06476371e-01  5.94789035e-01  2.28368738e-01 ... -4.31880682e-01
   7.61240121e-01  2.72880781e-01]
 [-2.93685697e-01  1.74328720e-01 -6.47248655e-01 ... -9.14297225e-01
  -8.06128906e-01  1.86188446e+00]
 [-1.47414371e+00 -9.17982837e-02 -1.11691819e+00 ... -3.92305337e-01
   7.85485113e-01  2.06501682e+00]];[ 0.7202455   1.05883171 -1.3202712   0.56436087  0.02398489 -1.18074395
  0.65757118  0.90773231  1.27942248 -2.0882567   0.68539099 -0.3374491
 -0.54179966 -0.4522961   0.05617486  0.30031966];[[ 0.53853541 -1.39938934  2.05545936 -0.35298803  0.35908503  0.53575659
  -1.31477363  0.88201003  1.6225567  -1.38014228  0.22482069 -0.3247924
   0.17380366 -0.55424669  1.14547183  0.09576236]
 [ 2.36593599  0.85277418  0.20614944 -0.84474991  1.67562895  2.22663403
  -1.48615013  0.38729297 -0.62934042  0.91035567  0.12735172  0.01263739
  -1.11453644  0.12901938  0.9974317   0.49881563]
 [ 0.93560875  0.41126089  0.96627704  0.01620405  0.22149918  0.15628078
   2.10190841  1.03950852  2.11192016 -0.18622877 -0.11871052 -0.18927609
  -0.32533542 -0.35862978 -0.03950574 -1.059016  ]
 [ 0.45730293 -2.12648024  0.27760514  0.37492661 -0.8231146  -0.2623213
   0.93001636 -2.10055971  0.96316583  0.36580382 -0.53763447 -0.188641
  -0.03065165  0.53861332 -1.78866137  0.8337249 ]
 [-0.83499544 -0.35024053  0.33437704  0.92690728  0.92533092  0.94305485
   1.28176952 -0.91297755 -0.35907065 -0.27701419  1.3902293  -0.49020093
  -0.26318047  0.21435753  0.06310078  1.69373322]
 [ 0.19950408  0.10046825 -0.83641876 -0.39177354 -0.07876644  1.59596165
  -0.44392484  0.85039125  1.50493363 -1.32728566  0.8029277  -0.63459854
  -0.14440501 -0.61953806 -0.94319511  0.36407206]];[-0.24276732  0.52246621 -0.65680553 -0.75125982 -0.131773    0.13274842]"
7,0.07492722574363536,"0.0,0.0,3.0,4.0,1.0|0.0,1.0,2.0,3.0,2.0|1.0,3.0,3.0,0.0,1.0|4.0,1.0,4.0,4.0,4.0|2.0,0.0,2.0,3.0,1.0","[[ 1.30519129  0.87963839 -0.50075456 ... -1.64243504 -0.84679655
   1.0929731 ]
 [ 1.26039016  0.06983175 -0.97653643 ...  0.71185673  1.39000903
  -0.95748071]
 [-0.50172601  0.151088    0.07486515 ... -1.33752502 -0.18512323
  -0.06719891]
 ...
 [ 1.89225233  0.49692305  0.3156957  ... -0.47770478  1.10836717
  -0.78504958]
 [ 1.72878192  0.17055198 -0.02889037 ... -1.54770596  1.81360443
  -0.83980891]
 [-0.42340391  1.41150802 -0.41095024 ... -0.16636252  0.16895473
   1.27720376]];[-0.89501903  0.4111303  -0.49035993 -1.2102674   2.02029424 -0.20443702
  0.48335682 -0.25239997  0.46788811 -0.12772574  0.96241757  1.18438953
 -0.55079102  0.05857503 -0.19521823 -0.21237229];[[ 0.40009191  0.72112302 -0.0867508  -1.13381468 -0.22095571 -2.40991357
  -0.66972348  1.10255028  0.45809406 -1.34187983 -0.84724452 -0.24122472
  -0.42103234  0.75122288 -1.02679428 -0.38143264]
 [-0.19098925  0.72554206  1.04416318 -1.2662005   0.43607916 -1.46776801
   1.02126009  1.23152022  1.90314355 -0.08152511 -0.34092661 -0.82571706
   1.06487831  0.62607692  0.89628517  0.20342566]
 [-0.28703563  0.46858127 -2.0891167   0.98013947 -0.43075338 -1.34152392
   1.20633842 -0.94954534  0.7450647   0.21886278 -0.49802215 -0.23463537
  -0.74152782  0.48930515  0.2370398   2.67113917]
 [-0.9797488   0.15525491  0.09236489  0.96237316 -0.8048674  -0.11268401
   0.26295838  1.20650862 -0.14636858 -0.10293856 -1.28075344  0.04605828
  -0.863579   -1.80639853  0.31727424 -1.65674644]
 [-0.90641102  0.33162642  0.8886288  -0.62526456  2.27736488  1.94758939
  -1.36599992  1.02737014  0.49828039 -0.53563495 -1.30587493 -0.33960965
  -0.50661384  0.16215187 -0.09766921  0.77646601]
 [ 0.65893214  1.73611433  0.27263336  0.74052856 -0.16544519 -0.15217997
  -1.27946477 -0.86949874  0.51112386  0.85241761 -0.91828409 -0.13882408
   1.72800152  0.12748495 -0.23614091 -0.5047902 ]
 [ 0.70252839 -0.95180842  1.08832119 -2.27812351 -0.03136384 -0.07211222
  -0.52013256 -0.55402333 -1.1280973  -0.09112015 -0.76721868 -0.71660738
   3.08535829 -0.32737158  0.34094184 -0.27250485]
 [-0.12453291 -1.74214241  1.19517908 -0.024478    0.67069043  0.33316275
  -0.53503581  0.66306776 -1.03069938  0.18558381 -1.00194572  0.26972801
   1.14341166  0.0749123   2.04017107 -0.66083391]
 [-1.52013731 -1.54971517  0.51383201 -0.6564818  -0.8030335  -0.25086256
   0.39500014 -0.90468681  0.65998087 -0.59949389  0.30381198 -0.22404373
  -1.2230902  -0.4041701  -0.06721119  0.36837292]
 [ 0.50968967  0.98462558  0.04948549  1.29357839  2.01364076  1.45957702
   0.39548595 -0.3577381   1.59330344  1.16262907  0.39813942  0.50848822
  -0.113092   -0.01474036 -0.97406228  0.3015035 ]];[-0.16823272 -0.07496256  2.17748489 -0.78245523 -2.18522457  1.66098042
  1.96691823 -1.160311    0.25997005  0.30415498]"
8,0.18299480397690077,"2.0,2.0,1.0,1.0,3.0|1.0,2.0,0.0,0.0,2.0|2.0,2.0,0.0,3.0,3.0|4.0,2.0,1.0,2.0,2.0|0.0,2.0,0.0,4.0,0.0","[[-0.11860335  0.67944976 -1.07774152 ... -0.84402721  0.87787859
   0.04122128]
 [-0.47995922  0.4565817  -0.91226402 ... -0.25229577  1.91242857
  -0.90885961]
 [-0.48965655 -0.29108208  0.74960288 ...  0.99554851 -0.74619159
   1.13363307]
 ...
 [ 0.35139911 -0.45253486 -0.96361127 ...  1.22991905 -1.55914001
   0.2440275 ]
 [ 0.25373349 -1.89420224 -0.88199201 ...  2.0057176  -0.31443302
   0.17835405]
 [-2.45257494 -0.16840912  0.01176072 ... -1.04004161  0.71660289
  -0.03320476]];[-0.3641639   2.28480286  0.80440355  0.51604405  0.11536147  1.6907463
  1.03792978  0.17198671 -1.16311078 -0.83695397  0.26659229  0.65356333
  0.98124297 -1.0018006   0.38207978 -1.29803551];[[-0.76649217  0.61914423 -0.49055424  1.27918504  0.17557901 -1.31081186
  -0.71002741 -0.14853193 -1.13822271  0.94210165  0.44059987  0.28245335
   1.74122475  0.70163152  0.24723426 -0.45151929]
 [ 0.47747182 -0.10513925  0.50499412  0.07879564 -0.02224491  0.03874698
  -0.46039166 -1.05723042  0.5470243  -0.27952282  0.76614333 -0.19732012
  -0.32990521  0.4237902  -0.56676444 -0.4413903 ]
 [ 0.6313363  -1.10363529 -0.30503528 -0.18707799 -1.52797278  0.53259029
   0.95729545 -0.39637333  0.55299794  0.11198534 -0.21920364  0.62616275
   0.45089751 -1.29607135  0.0849927  -0.10239505]
 [ 1.11261369 -0.13861378 -0.02667335 -0.44817666 -0.26132967 -2.64567941
   0.00959813 -1.00889148 -0.53381533  2.92192712 -0.1491014   0.89386132
  -0.39276251 -1.78137135 -0.21455351  0.72509394]
 [-0.32326504  0.19205423  0.50932452  0.05716621  1.23769313  0.32996959
   0.58356128  1.08198275  0.73423961 -1.5191805  -0.21091077  0.36621458
  -1.18983661  0.43510138 -1.38710401  1.61167868]];[-1.50873015  0.28335358 -3.12604554  0.62030546 -0.96214394]"
9,0.05475163199421429,"1.0,1.0,2.0,0.0,0.0|0.0,3.0,4.0,2.0,0.0|0.0,3.0,0.0,1.0,0.0|1.0,2.0,1.0,4.0,1.0|2.0,4.0,0.0,0.0,1.0","[[-1.13513341 -0.14386157  1.6822897  ...  0.17376593 -0.23025504
  -0.46168496]
 [ 0.59754006  1.10718614  0.58077931 ... -0.92438909  0.34252209
  -1.70453316]
 [ 0.28423659  0.63474533  0.46313795 ...  0.47252784  0.84338233
  -0.80523212]
 ...
 [-0.59166302 -1.53646919  0.20139293 ...  0.8528634  -1.73101194
   0.21961293]
 [-1.34772967 -0.14484017 -0.33094267 ...  1.70528395  1.4178017
   1.14563607]
 [-2.08414001  2.57539581 -0.36215238 ...  0.57374623 -0.23033122
   0.83092885]];[ 1.12808276 -1.29875018 -0.46280152  0.92283279  1.11797824  0.33855277
  0.27487288  1.90459937  1.19120301  0.80401498 -0.30310889 -0.23566929
 -1.88435852  0.52723678  1.61738309  0.573312  ];[[-0.43469058 -0.84134969  1.66853722  0.86989674  0.77488231 -2.57403583
   2.19346076  1.13797343 -0.84225359 -0.0504876   0.23028661 -0.29627021
  -0.74030493 -0.5653724  -1.33709927 -0.44104145]
 [-0.9386646   0.23754353  1.98953194 -0.83770954 -0.25415491 -0.59055328
  -0.07666574 -0.93308004 -1.16214245  0.23253115 -1.09475174 -1.11385127
   1.42523991 -0.51400547  1.88121487 -1.77740291]
 [-1.17136139 -0.1461477  -0.01616159 -1.01726386  1.10498127  0.42883684
   0.26808506  2.32290795 -1.06416104 -0.59756135 -1.6051141  -0.49625451
   0.23723587  0.76517286 -0.53643752 -0.85731112]
 [ 0.77170487 -0.83656664 -0.70310196  1.14464785  0.5110179   0.843162
  -0.57098654 -1.33306808  0.54325731 -1.18263763  0.13377423  1.20756227
  -0.64992002 -0.3327905  -0.59500938  1.14892835]
 [ 0.33304914 -0.35776097  0.75399602  0.38008936  1.07491392 -1.21367359
  -0.81604889  0.65917701 -0.33839257 -1.04755921 -0.10772419 -1.30789392
   0.49652441 -0.36194873 -1.05990166 -1.55220855]];[-1.27517156 -2.05435995 -0.92335528 -0.98340653 -0.52676048]"
