Index,Fitness,Structure,Controller_Weights
0,0.05181369581178297,"2.0,2.0,1.0,1.0,3.0|1.0,2.0,0.0,0.0,2.0|2.0,2.0,0.0,3.0,3.0|4.0,2.0,1.0,2.0,2.0|0.0,2.0,0.0,4.0,0.0","[[-0.10511589  0.64110411 -1.42799075 ... -0.91314895  0.78759084
  -0.00603496]
 [-0.50774377  0.29123547 -0.92101582 ... -0.27712112  1.89024615
  -0.82961925]
 [-0.47322802 -0.37891482  0.79375704 ...  0.98777764 -0.73294928
   1.11409313]
 ...
 [ 0.34992989 -0.44995266 -0.99331551 ...  1.25964236 -1.62545554
   0.2898049 ]
 [ 0.16839046 -1.953606   -0.86284302 ...  2.07809512 -0.17569946
   0.26921296]
 [-2.57363883 -0.04650355 -0.00698007 ... -0.95585339  0.75888323
   0.13281403]];[-0.44803068  2.23987455  0.8379929   0.34389648  0.05879751  1.7385491
  1.00072401 -0.00981723 -1.27910995 -0.78286785  0.37472972  0.68966989
  0.95096772 -0.86973496  0.48988046 -1.24573907];[[-0.64700025  0.63369107 -0.5597987   1.29501548  0.12622137 -1.31872398
  -0.72125785 -0.07649829 -1.02445103  0.91308073  0.49978048  0.31770081
   1.92936559  0.64216233  0.33309482 -0.53507016]
 [ 0.6403197  -0.21409841  0.37822322  0.14199355  0.18298543 -0.01327863
  -0.28608301 -1.03424007  0.74364514 -0.33896055  0.81943345 -0.29635473
  -0.43941084  0.44881203 -0.62347481 -0.42572244]
 [ 0.64533746 -1.25031111 -0.26506284 -0.1882421  -1.51668531  0.57816163
   0.82897077 -0.37396149  0.37942281  0.06739636 -0.01573291  0.69585441
   0.48442005 -1.24155801  0.17016209 -0.15399208]
 [ 1.2091143  -0.13690585 -0.01078234 -0.45871181 -0.34287841 -2.8355514
  -0.04704973 -0.91573019 -0.485846    2.93926579 -0.29771119  0.92226045
  -0.45173143 -1.78416584 -0.37776343  0.84484657]
 [-0.29195124  0.01054866  0.46584769  0.12874234  1.19978554  0.24289672
   0.74855985  1.10400486  0.68696926 -1.55516438 -0.26184279  0.16369343
  -1.11420961  0.45622897 -1.51229169  1.50442585]];[-1.60277983  0.05818422 -3.02605639  0.70805312 -0.92675287]"
1,-0.0785754279961573,"0.0,0.0,0.0,0.0,0.0|3.0,3.0,0.0,2.0,1.0|1.0,1.0,0.0,4.0,2.0|0.0,3.0,1.0,3.0,0.0|4.0,3.0,2.0,2.0,0.0","[[ 0.31679028 -0.06663917 -0.66999664 ...  1.02724392 -0.04794069
  -1.94217358]
 [ 0.58162907  1.46479678 -0.84863671 ... -0.33040594 -0.32625754
  -0.12497216]
 [ 0.62862077 -0.26200632 -0.00716472 ...  0.38466271 -1.02914862
  -0.86216072]
 ...
 [-0.27212488 -2.05709142  1.92338457 ... -0.80006101 -0.32762729
  -0.14822928]
 [-0.97452417  0.40025295  0.678021   ... -0.26883221  0.69041084
  -0.01062076]
 [-1.81006321 -1.15661401 -0.61962309 ... -1.39745035 -0.71294392
   1.0103786 ]];[ 1.35705519 -0.59191868 -0.69621283  0.45084194 -0.56541939 -0.36236527
 -0.87216784  0.24632076 -0.14701277 -0.40753709 -0.40136915  0.35774018
 -1.13361876  0.49358476 -1.91622344 -0.37962165];[[ 4.03102049e-01 -1.19084612e-03  3.50418463e-01  5.16966379e-01
   1.37973464e+00 -2.95138474e+00 -4.88705418e-01  4.12989245e-02
  -1.51174635e+00  3.99958948e-01 -4.49016781e-01 -2.28215979e+00
  -7.84586434e-01 -2.55400171e-01  9.50672600e-01 -6.50870366e-01]
 [ 1.89021741e-01  1.01097303e+00 -8.12404644e-01 -1.43133608e+00
   5.59056816e-01  1.03046722e+00  5.16291206e-01 -3.71867730e-02
  -1.06993754e-01  4.27912135e-01 -2.01096780e-01  3.18738125e-01
  -3.19346159e-01  1.58059813e+00  8.05241235e-01  2.17511121e+00]
 [ 2.95137097e-01 -4.71304197e-01  1.05288385e+00  1.64598780e+00
  -5.25753839e-01 -1.10662501e-01 -3.98262147e-01  3.92239366e-02
  -1.53480180e+00  1.59122925e-02  4.00659852e-01  4.70163640e-01
   3.47479527e-01 -3.82759569e-01  1.91372200e+00  5.78897624e-01]
 [ 1.97605930e+00 -4.09075160e-01 -1.59768437e+00  9.02490735e-01
   9.78350598e-01 -4.30961947e-01  6.09815473e-01  8.02580179e-01
  -1.19512939e+00 -1.20188513e+00  8.28530487e-01 -1.43525615e+00
  -2.93953171e-01  1.76407794e+00  1.57872363e+00 -1.22219363e+00]
 [ 9.05836449e-01 -1.31951649e+00 -3.97299741e-01  6.67420123e-01
   3.41084644e-01 -4.00538688e-01 -2.35129929e-01  6.33893692e-01
  -9.92923058e-01 -1.10441054e+00 -6.25236909e-03  3.02873212e-01
   9.58662796e-01 -8.40634652e-01  4.43363848e-01  4.61739365e-01]
 [ 1.16730188e+00 -1.14133439e-01 -1.35176042e+00 -1.42365168e+00
   5.08675404e-01  1.25933899e+00 -1.12174956e+00 -1.73862457e+00
  -1.20538359e+00  6.83179154e-01 -9.45118186e-02  3.30470624e-01
  -8.25575108e-01 -2.23458152e+00 -1.14783117e+00 -1.78986419e+00]
 [-4.39450301e-01  1.78758820e+00  9.21136555e-01 -5.81516787e-01
   1.43146962e+00 -1.38730046e+00  1.03139947e+00 -1.97777374e-01
   2.65482568e-01 -7.47023405e-02 -1.88491279e+00  4.33638451e-01
  -6.45247580e-01  1.17669211e-01  4.86868284e-01  1.75459871e+00]];[ 0.30398117 -1.36681705 -1.00152607 -0.34740378  0.68829203  0.95251329
 -0.41889688]"
2,-0.4872984965760359,"0.0,2.0,0.0,4.0,0.0|0.0,3.0,3.0,3.0,0.0|0.0,2.0,1.0,1.0,1.0|0.0,0.0,2.0,1.0,1.0|0.0,0.0,0.0,2.0,0.0","[[ 2.67844983 -0.35448802  0.32552107 ... -1.03128036 -1.18663521
  -0.86941799]
 [-2.07670364 -0.74214852 -0.58837942 ...  0.5868298  -1.91109237
   1.27763127]
 [ 1.23593443 -0.79708899 -0.71036674 ...  0.45999993 -0.95483075
   2.04296127]
 ...
 [ 1.42144134  0.52997552  0.49475737 ... -1.02817058  0.12991067
  -1.02223612]
 [-2.31251572 -0.58634652 -0.54054985 ... -1.80672979  2.92567223
   0.39786568]
 [-0.23174635 -0.13699511 -2.35488943 ...  0.34627166 -0.24666237
   0.21182829]];[ 0.29199754  1.0249974  -0.55873724 -0.93980601 -1.57248761  0.91114671
  1.03338095 -1.18284422  1.6153644  -0.51215972 -1.49529724  1.50181178
  0.12149348 -1.21892599  0.38623314 -0.84803385];[[-0.27440439  0.0707878   2.66281669  1.55713335 -0.73710402  0.10396785
   0.53441961 -1.01014788 -0.91881796  2.32727947  1.22850305  0.1469166
  -0.41200814  1.21757921 -0.31827134  1.21224078]
 [-0.91207518  0.47093571 -0.65824623 -1.3677835   1.49562095 -0.93113009
   0.53154703 -0.82329542 -1.77148568  0.3769449  -0.95093814  0.56645407
   0.32350235  0.04261434 -1.2129209   0.32454115]
 [ 0.83376612 -0.22232998 -1.38489361  0.58754348  0.63618134 -0.67459645
   1.45142236  0.57004316  0.89549703 -0.33385805 -1.00108165 -0.55079442
  -0.10081471 -0.1344458   0.85912095  1.96073329]
 [ 0.94335807  0.72855855  0.10635959  0.14076042  0.91302874  0.26220953
  -0.06975123  0.2493515   0.4899077  -0.23760586 -0.62341055  1.23788565
   1.60310717 -1.74035308  0.20512624  0.23520031]];[ 0.27256822 -0.65585137 -0.32234782  1.75002033]"
3,-0.114736887002751,"3.0,0.0,4.0,2.0,0.0|1.0,4.0,4.0,0.0,0.0|0.0,3.0,4.0,0.0,1.0|0.0,1.0,1.0,2.0,3.0|0.0,2.0,0.0,3.0,0.0","[[ 1.68741411 -1.73785682 -0.57556645 ...  0.36892076 -0.4867813
   0.52051336]
 [-0.37095163  0.49317052 -2.97166562 ... -0.32866919 -0.99705568
   0.67729418]
 [-0.5849484  -0.85330981 -1.15567836 ... -1.15298935  0.46177229
   0.16256303]
 ...
 [ 0.3900028   0.89562313 -1.268032   ...  0.06655741 -0.25191336
   0.56889128]
 [-0.06629632 -0.95387556 -2.88656856 ... -1.14977146 -0.72249463
   0.70146942]
 [ 0.52761741  1.90711622  0.98063284 ... -0.77010678  1.61611831
  -0.15027849]];[-0.27155173 -0.39853517  0.22610246  0.30888153 -0.61840316  0.17469636
  0.24337714 -1.67679182 -0.14521341  0.60021758  0.85765161  0.47742258
  0.71376176 -0.00735509  0.44900744  0.77521136];[[-1.73225556  0.86615208 -0.44372922 -1.54247321  0.03410533  1.09904079
   1.7238029   0.33749139 -0.44755699 -0.99092132 -0.59980104 -0.21794436
   1.87139815  1.3937112   0.76298458 -0.09864449]
 [ 1.01068299  0.0557178  -0.25754993 -1.05131615 -2.40205195  0.69345757
  -3.04092096 -2.06479985  0.9426195  -0.38767485  0.36451797 -0.90479995
   0.64783599 -0.47013303 -0.29288577 -1.75670844]
 [-0.04599003 -0.14158547 -0.5049002  -0.35123289 -0.60057334 -0.66428525
   2.10357157 -0.45672202  1.29828569 -0.20774212 -0.33148907  0.49144311
  -1.08847556  2.59637598 -0.2708424   1.08310887]
 [-0.4688706  -0.1089197  -0.49588749 -2.229436   -1.0937026  -0.18499453
  -1.49443632  0.48168195 -1.27588197  0.91448939  0.49990218 -0.09113519
   0.22302752  1.90119676 -0.77491265  2.62590191]
 [-0.47995723 -0.72421337  1.06339671 -0.51198857  0.25185152  1.19224509
  -0.52897299 -0.30737281  0.26140681  0.56781221  1.53014988  0.03496826
  -0.84978973  1.94706955  1.78593838  1.07519565]
 [ 0.92787475  0.26589337 -0.91227285 -1.25874804  2.08350654 -1.09354338
   0.45775442 -0.2574425  -1.68469489 -0.13316624  0.18791308 -1.18713529
   0.35968411  0.9599729  -0.16459441  0.24674084]
 [ 1.48905366  2.50651207  0.0463928  -2.09431439  0.04002235 -0.60651456
   1.15767824  0.24532324 -0.64377289 -1.34677696  0.15624885  1.34657573
   0.38556529 -0.36073258  1.06566892  0.93225751]
 [-2.29583023 -1.0457556  -1.56228775 -0.76442925  0.47258301  0.01319828
  -0.12938786  0.71143967  0.50338085  0.17311774  0.34044659 -1.49584516
   0.19059297  0.64118541 -0.79790344  0.34780336]];[ 0.07176784  1.41436298 -1.10302652 -1.18044012  0.82273947  0.76393233
  0.72147161  0.55876224]"
4,0.04095437051247569,"1.0,1.0,2.0,0.0,0.0|0.0,3.0,4.0,2.0,0.0|0.0,3.0,0.0,1.0,0.0|1.0,2.0,1.0,4.0,1.0|2.0,4.0,0.0,0.0,1.0","[[-1.21734255  0.07652374  1.69859387 ...  0.16130131 -0.26388209
  -0.46818124]
 [ 0.61127822  1.07744998  0.65643966 ... -0.99495434  0.26624107
  -1.77831034]
 [ 0.25274246  0.76993175  0.22347485 ...  0.44958332  0.8811063
  -0.94108783]
 ...
 [-0.48000994 -1.63784724  0.15348935 ...  0.82481812 -1.83010623
   0.3934015 ]
 [-1.39650957 -0.08162987 -0.33062803 ...  1.70168478  1.49091017
   1.03848188]
 [-1.99866696  2.58385976 -0.35151077 ...  0.66040931 -0.31617823
   0.77879334]];[ 1.20137299 -1.1382611  -0.48221498  0.88006738  1.0581029   0.34293333
  0.40770139  1.86821722  1.32380127  0.74932154 -0.41872453 -0.14900542
 -1.83911046  0.49333998  1.61684992  0.62694535];[[-0.32930731 -0.69534899  1.60018604  0.84881628  0.99401823 -2.66418232
   2.141471    0.92998237 -0.98573134 -0.08098332  0.13656447 -0.35812188
  -0.75489963 -0.66158604 -1.44285056 -0.39193579]
 [-0.97859616  0.19188933  2.00044942 -0.68200096 -0.19006327 -0.58038595
  -0.1560608  -0.75593152 -1.17729371  0.30011966 -1.07528768 -1.14829114
   1.39356887 -0.53687246  1.79459298 -1.84311471]
 [-1.12054107 -0.09638128 -0.15799775 -0.82726414  1.0793943   0.4679753
   0.07944081  2.54559267 -1.06979639 -0.73228047 -1.54419183 -0.41325677
   0.11591222  0.66419568 -0.64035825 -0.86583007]
 [ 0.5965957  -0.78858588 -0.6309628   1.17577935  0.31774531  0.89535688
  -0.51454651 -1.3904618   0.56941765 -1.31491236  0.08793073  1.12215484
  -0.66063466 -0.36923514 -0.64209231  1.23899277]
 [ 0.42427319 -0.40749178  0.84026573  0.62361543  0.9812539  -1.10690877
  -0.7348338   0.61661018 -0.35268011 -0.9465436  -0.01118461 -1.34814561
   0.47542406 -0.44142831 -0.84890297 -1.6435351 ]];[-1.26101197 -2.09430997 -0.85779167 -0.90047137 -0.41452811]"
5,-0.01595583512673404,"0.0,0.0,3.0,1.0,1.0|0.0,4.0,2.0,3.0,2.0|1.0,3.0,4.0,0.0,0.0|4.0,4.0,4.0,4.0,4.0|2.0,0.0,2.0,3.0,1.0","[[-0.8639672   0.96855622  2.42791961 ... -0.31219898  1.22482887
  -0.48152797]
 [ 1.2690338   0.18601042  1.31028506 ...  1.14834392  0.33777133
  -0.56868199]
 [-0.35148007  0.02944243 -0.06867252 ... -0.02375189 -1.11892873
   2.14345465]
 ...
 [-1.18620867  0.62966197 -0.07463112 ...  0.92324018 -0.21118374
   1.20845617]
 [ 0.15501528  0.38465397  0.03007043 ... -1.76738203  0.90769256
   0.74048744]
 [-0.04428199  1.91054694 -1.94582038 ... -0.60262805 -1.47937957
  -1.26536959]];[-0.52437352 -1.78752017 -0.92158908  0.5666023   0.7165326  -0.82997217
  0.24568216  0.40824507  1.62243104  1.51751031 -0.09373937 -0.11243217
 -1.13867167  0.45342843  2.4410328  -0.52855757];[[ 1.12276986e+00  4.06539476e-02  8.74193745e-01  1.76386060e-01
   1.28255369e+00  1.01430898e-01  4.56571292e-01  9.75725310e-01
  -6.60709301e-01  8.52699375e-02  7.66859657e-01  1.88886718e+00
  -4.53117446e-01 -1.27901369e-01 -6.23042607e-03  8.49116869e-02]
 [-2.42067005e-01 -2.22882187e+00 -3.98181271e-02 -1.45164159e+00
   1.11256406e+00  1.62504232e+00  1.28988398e+00  7.55402169e-01
  -3.84878217e-01  7.58630515e-02 -1.99081609e+00  1.33521542e+00
  -6.47724708e-01  1.87457965e+00 -5.42895141e-01  1.91466647e+00]
 [ 1.18688091e+00  9.89128599e-01 -9.84564452e-01  8.29729118e-01
  -1.48232399e+00 -5.73620115e-01 -8.42988116e-01 -2.12985270e-01
  -1.96554649e+00 -2.28764976e-01 -4.94612432e-02 -1.06261342e+00
   1.66745616e+00  7.14542231e-01  3.27664295e-01 -1.52265316e+00]
 [-9.26650346e-01 -5.37497317e-01 -1.26364503e+00  5.43652253e-01
  -9.11031323e-01 -2.14508879e-02  1.78807002e+00  1.14898830e+00
   4.51282590e-01 -1.14152805e+00 -1.33825320e+00  8.45501797e-01
   1.30324698e+00 -1.88963013e+00 -5.41831352e-01 -1.05590775e+00]
 [-4.43853974e-01 -4.35303220e-01  5.52905690e-01  2.33217842e+00
  -1.14680629e+00  1.70516651e+00  3.39637075e-01  9.91196511e-01
   2.94986764e-01 -1.10848601e+00  3.95751345e-01 -1.43841190e-03
  -4.75909872e-01 -5.51345659e-01 -1.30136601e-01  6.82070702e-01]
 [ 8.35679517e-01 -9.45336189e-01  1.27460948e+00  1.85285873e-01
  -1.36765745e+00  2.19072418e-01  1.31289704e+00 -7.04583136e-01
   5.55858143e-01 -6.77144621e-01  1.59952155e+00 -7.30732305e-02
  -5.93541865e-01  1.43051228e+00 -5.32201125e-02 -4.22475191e-02]
 [ 7.92521831e-01  4.98952223e-02 -4.50986496e-01  3.97055770e-01
  -6.58087074e-01  1.17460835e+00  9.48310511e-01 -1.50288640e+00
  -7.40244997e-01 -1.70434972e+00 -1.25052390e+00 -4.94162889e-02
   3.68733250e-01  4.94974254e-01  5.82384465e-01  7.14855823e-01]
 [ 2.07344450e+00 -1.04183699e+00 -5.98021868e-01  1.33863887e+00
   9.13493930e-03  8.60476246e-01  1.03211266e+00  8.07809767e-01
   3.98475602e-01  4.60829393e-01  8.98449061e-01  9.96814670e-01
   1.15094179e+00 -1.35134252e+00  1.49947949e-01  2.04689671e-01]
 [ 1.06205725e+00  1.72080015e+00 -1.32299149e+00  1.07466216e+00
  -4.28214171e-02  1.29835709e+00  7.87739307e-01 -2.84132668e-01
   6.38728099e-01 -1.67859028e+00  1.71449010e+00  5.08762761e-01
   4.78171297e-01  5.95805190e-01 -1.73163584e-01 -1.31692016e+00]
 [-6.58592207e-01  7.84608258e-01 -1.97468621e+00 -9.95217774e-01
   3.05029039e-01  1.91295730e+00 -2.00807190e-01  4.75590097e-01
  -1.37685807e+00 -6.05864941e-01 -3.78744784e-01  2.05195071e+00
  -6.74612109e-01 -5.83737147e-01  1.26429321e+00 -8.45281712e-02]
 [-1.29133642e+00 -1.71125234e+00  4.14118944e-01  5.03525315e-01
   1.11306668e+00 -3.72429194e-01  6.99277595e-01 -2.77433185e-01
   8.23992665e-01  2.20571860e-01  8.86247665e-01 -3.10898703e-04
  -6.23043962e-01 -1.78087692e+00  2.27063251e-01  7.20591563e-01]];[-1.94949546 -1.04574808 -0.51698629 -0.59911526  0.30746527 -0.34681033
  1.69075535 -0.26679276  0.12135488 -1.1101319   0.65860764]"
6,-0.05822459441095218,"1.0,3.0,2.0,2.0,0.0|2.0,2.0,0.0,1.0,1.0|1.0,0.0,0.0,2.0,1.0|0.0,0.0,0.0,0.0,3.0|0.0,0.0,3.0,3.0,2.0","[[ 0.36846318 -0.03999275  0.50940522 ... -0.41683999 -1.7909284
  -0.11370533]
 [ 0.11081795 -0.16321632  1.79051848 ... -1.8455251  -1.1424885
   0.11749405]
 [ 1.96430817  0.72248946  0.91867177 ...  0.33685204 -1.75341338
  -0.58869295]
 ...
 [ 0.60944657  0.24892046  0.09267106 ... -0.46523525 -0.88782904
   1.3612175 ]
 [ 1.9900265  -1.57727073  0.18989886 ...  1.76794348  0.39966711
   0.14927304]
 [-0.16665315 -1.17294809 -1.49425871 ...  1.03765395  0.98725157
   0.74443754]];[ 0.16869272  1.25875869 -0.3184223  -0.19997978  0.82182776  0.66901126
 -0.27511671 -0.43059862 -1.81195014  0.86433195  0.38460026  1.44134104
 -0.4927919   0.48141564 -1.05315703 -0.39333081];[[-0.5390007   1.17193998  0.44420712 -0.50100189  0.87406367 -0.40989195
  -0.07898855 -0.42030484  2.83556732  0.43939493  1.3111698  -1.25762769
  -2.28913631 -0.28223138  2.0327953  -1.23749413]
 [-0.01442785 -0.35039818  0.55863259  0.32602462  0.82647191 -0.14552956
  -0.42063566  1.90801268 -0.33150412  0.80784174  0.7338422   0.04190662
   0.40237315  1.2663823   0.44013939  0.12241282]
 [-0.18794168 -1.1640071  -0.12896652  0.75546469 -1.02321293  0.33051427
  -0.02669111  1.33909355  0.55564631  0.42466123 -1.43460372 -1.56345318
   1.01021634  1.25745958  1.39302406 -0.5449524 ]
 [ 1.57185199  1.62654975  2.33893829  0.87022736 -0.94511513  0.19711098
  -0.59455175 -0.09530071 -1.16676257 -0.46777788 -1.0272111  -0.5372684
   1.16517622  2.62635731 -0.49740527  1.29463971]];[ 0.474425    0.81853101 -0.38882608  0.08637097]"
7,0.17548457374823556,"1.0,3.0,4.0,2.0,4.0|1.0,3.0,0.0,0.0,0.0|2.0,0.0,0.0,3.0,0.0|4.0,4.0,2.0,3.0,0.0|3.0,0.0,3.0,0.0,0.0","[[ 1.53094749 -0.00486818 -2.01043905 ... -1.57808131  0.54611173
   0.18729777]
 [ 0.17191036 -0.90250024 -0.69802637 ... -1.83925615 -0.13169242
  -0.78985143]
 [ 0.53656416  0.04708368  1.47223472 ...  0.22143465  1.76303944
   1.24140269]
 ...
 [ 1.68396826 -0.16613711 -0.0985818  ...  0.30481227 -0.57729214
   0.26623528]
 [ 0.09786033  1.54465031  0.14536232 ...  0.91924302  0.79625619
  -1.9381445 ]
 [ 0.60263227  1.54617241 -1.47978007 ... -1.13068591  0.3525185
  -0.10563758]];[-0.01452079 -1.06951995  2.94974736  0.36977425 -0.07388401 -0.05345597
 -0.77315498  0.17865649  0.03139783  0.3038886  -0.04189945  0.26297367
  0.0479205   0.9166323   0.76097346 -0.17965547];[[ 0.27988201  0.32524116  0.32916681  0.99388635  0.60570015  0.27951417
  -0.1912528   0.24548785  0.11770614 -1.21593087 -1.88441937 -0.12079283
  -1.04753125 -0.54602881  0.84351651 -0.15424955]
 [-1.99321547  0.08942668 -1.04586225  1.18850324  1.41307319  1.35525379
  -0.38565687 -0.98550854  1.662504   -0.81485742 -0.98920514  2.05431609
   0.65011701 -0.96308861 -0.07092699 -1.51581762]
 [ 1.25884413  0.14517768  0.15760827  0.49461288 -0.8209112  -0.0398485
   0.3361243  -0.05873707  0.0525156  -1.48619952 -0.96078472  0.87720915
  -0.30238056 -0.11956106 -0.82059863 -0.48815066]
 [-0.30005031 -0.09067603  0.12732756 -1.64526112  1.70925936  1.75138828
   0.05639524 -0.30325406 -2.02755153 -1.61267214 -0.02321     0.39454218
   1.45124836 -0.58623454 -1.94572861 -1.87860147]
 [-0.24966829 -0.08900728  0.1971206   2.3837746   0.48601134  0.20914148
   0.04175566 -0.76986943  0.68031925  0.41414433 -0.96687061  0.19747053
   0.571667    0.91279675 -0.98510368 -1.78820955]
 [ 1.13153065 -0.96154749 -1.52750712  0.00917689  0.11971429  0.15498514
   1.60115845 -0.24453022  0.74918213  0.64754811 -0.11391374  1.24818546
  -0.76634425 -0.78913897  1.66705178  0.90034301]
 [ 1.3574773  -2.59486645 -0.14607386  1.82095452  2.54141329  0.51999632
  -1.0701562   0.90508467  0.34549496  0.61700671  0.44998724 -2.40293154
   0.40977851  1.72584689 -0.24991565 -0.49270498]
 [-1.68157368  0.15004795 -0.46950627  1.73673025 -1.1736368   0.09808275
   1.00067105 -2.61979788 -0.01129544 -0.41230202  0.32412507  1.08550399
  -0.94271285 -1.21340243  0.66649369 -0.20848515]
 [-2.20209463 -0.45303104 -0.03153989  0.29388977  1.82774213 -0.5763038
   1.09090886  0.39133183 -1.08978836  0.78657234 -0.88954041  0.59842898
  -1.02214924  0.93284434 -0.83739475 -3.59522522]
 [-1.12498359  1.39764375 -0.14019588  0.88730253  0.92420366  0.64430647
   0.2130197   0.29367742 -0.64996144 -0.45252012  1.24334422  0.59905533
  -0.78953062 -0.55791024 -1.43094788  0.42434047]];[-0.32417649  0.96957104  0.98974848  0.03457513 -0.77862326  0.57499659
  1.44310077 -0.62100014 -0.58897893 -0.72904517]"
8,0.024789884048980637,"0.0,2.0,4.0,0.0,0.0|0.0,1.0,4.0,2.0,1.0|2.0,1.0,0.0,1.0,0.0|0.0,4.0,0.0,1.0,0.0|4.0,2.0,0.0,4.0,0.0","[[-0.34132594 -1.02759144  0.31292801 ... -0.44060734 -0.02705422
   0.06565677]
 [ 2.24350943 -0.13628792 -0.80619123 ...  0.63501565 -1.65785248
  -0.08299516]
 [ 0.56527825 -1.05621221  1.28905984 ...  1.37831702 -0.40917479
  -0.15071403]
 ...
 [ 1.09806718 -0.20494334  0.50546399 ...  0.11359935 -0.67649147
  -0.30422407]
 [-0.28757861  1.04693528 -0.59278142 ... -0.54486737 -0.15411951
  -0.6394131 ]
 [-0.17376318  0.02875957  0.42654529 ... -0.85630244  0.34396885
  -0.31320516]];[ 0.48062286 -0.25139947  0.46134989 -0.4730933   1.23116345  0.28062073
  0.78097616 -0.33763442  1.22403932 -1.01616004 -0.6525467  -0.08325827
  0.17082108 -0.90310276  0.06757648 -1.7575992 ];[[ 0.42578871 -0.07738648 -1.15635467  1.28357556 -0.83167386 -0.55817144
  -0.80954337 -1.71609139  0.07302899 -0.82341234  0.72300377  0.33606898
   2.52013942 -1.10900465  0.21926414 -0.91662765]
 [-1.53110172 -0.83276753  0.25799    -0.19231016  0.69131186  0.86286428
   1.069087    0.20337961  2.5804694   0.01404319  1.14226643  0.88887309
  -0.09308752 -1.05757097  1.29468025  2.12241706]
 [-1.35060612  0.42517329 -0.973193    1.39940323  1.32582821 -0.10742942
  -0.68055167 -1.65842512 -2.31143105  0.02127312 -0.31363516  1.15332638
   0.97549452  1.42540063 -1.3475664   0.59991552]
 [ 1.33195093 -0.39143757  1.43241268 -0.90873591  1.32614315 -1.83575771
   0.03975825 -0.24439718 -1.50930253 -0.81144172 -0.47927311  0.41382098
  -0.56292245 -0.59679426  0.67634097  1.27346605]
 [-0.274176    0.05465123  1.0864438   0.00725782 -1.71834348  0.22783553
   0.89460343  1.12878755  0.79918237  0.03616034 -0.81596677 -0.29971255
  -0.50482772 -0.09505549 -0.26355527  0.23566301]];[-0.11425003 -0.59649623 -0.51828757  1.03361459 -0.4805894 ]"
9,0.3515343709323518,"0.0,0.0,2.0,3.0,2.0|0.0,4.0,0.0,4.0,2.0|0.0,2.0,0.0,4.0,0.0|3.0,1.0,4.0,4.0,1.0|0.0,4.0,4.0,0.0,0.0","[[-1.08372528 -0.22641909 -1.55399755 ... -1.09288533  1.08859563
   0.09817561]
 [-0.18027242 -1.81290796 -0.61266331 ... -2.10948307 -1.36343589
  -1.57552343]
 [-0.41290856 -0.71253051  0.76808522 ... -1.03558366  0.08957417
  -2.09799849]
 ...
 [ 0.51072374 -0.22227116  1.54872766 ...  0.94545883 -0.17822635
   0.30360377]
 [ 1.03280809  1.03787534  1.055227   ...  0.21457194 -1.47875773
  -0.87025599]
 [ 0.63837524 -0.09719888  0.72192613 ... -0.99002888  0.04750721
  -0.35015131]];[-0.41413326 -0.48094793 -0.67742153  0.09890298  0.89062332 -1.34204758
 -1.22657043  0.04668901  1.20267058 -2.07401338  0.08964439 -0.992191
  0.13977643  0.96799765 -0.83443392  0.1927405 ];[[ 0.06336411  0.30743801 -0.1645682   0.39239888 -1.68569428  0.22759946
   0.46277056 -0.80878538 -0.24566285 -1.7112696  -0.48792539  0.25972425
  -0.75417981 -0.46719539 -2.04140981 -0.51227675]
 [ 1.8906709  -1.38922381 -0.78771702 -0.81827736 -1.69985958  0.79817195
  -0.01041837 -0.77873094  0.01704372  0.14598162 -0.50614575  0.39472834
  -0.82941073  0.70274784  0.93436816 -0.09735653]
 [ 1.47072899  1.01340668 -2.00915604 -0.66303745  2.00392254 -0.13568981
  -0.76203828 -0.24302722 -1.12069508  0.5221596   0.0758088  -0.71581207
  -1.46895926  0.71885614  0.53304636 -1.77809445]
 [ 0.77705002  1.25905278 -0.53408164  1.23688393  0.86276842 -0.82798065
  -0.90293565  0.46793951 -0.74766374 -0.4368718   1.02535392  1.36763615
   2.59367742 -0.70703447 -1.00525735  1.06579794]
 [-0.19942297  0.37147496 -0.77408489  0.91249807  1.28657753  0.95152508
   1.76892064  1.15455905 -0.95649285 -0.13990538  1.25005696  0.43265008
  -1.80041807  1.95977486  1.12200567 -1.19852448]
 [-1.31255045 -1.33466906 -1.15344727 -1.05698232 -0.37682062  0.40258194
   0.1501017  -0.24855217 -0.78925546  2.267624    0.18520787  0.62694393
   0.33685623  0.43160409  0.91205165 -0.94437518]
 [ 0.51149746 -0.37815291  1.1836882  -1.74720718  0.23946895  0.85397834
  -0.64604616 -0.63613872 -1.12139899 -0.2603344   0.1521091  -1.13871668
   0.11422981 -0.01083214 -0.28797123  0.82031788]
 [ 0.15873605 -0.48059672 -0.07473838 -0.74838222  0.29494407 -1.39260799
   0.48581263  0.32041565 -0.06098136  0.4854023   1.41472249  2.49758552
   1.84101994  0.00466348  1.15913419 -1.6943888 ]
 [-1.31150555 -1.26996918  0.11157644 -0.45889884 -1.41759744  1.05900308
   0.31516669 -2.15176175  0.00455837 -0.24661313 -1.6265132   2.10177378
   0.63562983  0.2891193   2.0090256  -0.65451134]];[-0.11927344  1.28349032  0.25185655  0.3702355   0.13800766 -0.58788216
  0.98175352 -1.0267006  -0.40756494]"
